id,name,description,effect,requirement,type,weapon_type,buy_price,sell_price,market_value,circulation,image,tradeable
21,Dual 92G Berettas,"One of the greatest pistols in the world. And when you are packing a pair, the results are incredible: 46 powerful shots to take your opponent down. The Dual 92G Berettas are very hard to get hold of, so cost a premium. But the extra impact is worth the extra price.",,,Secondary,Pistol,0,900000,3449999,68930,https://www.torn.com/images/items/21/large.png,TRUE
22,Sawed-Off Shotgun,"Loads and fires two cartridges at a time. If you hit your opponent, you will open up a huge hole.",,,Primary,Shotgun,2400,1400,1287,247747,https://www.torn.com/images/items/22/large.png,TRUE
23,Benelli M1 Tactical,Simple and sturdy. Takes seven cartridges and delivers each round with power.,,,Primary,Shotgun,4900,3300,3049,347082,https://www.torn.com/images/items/23/large.png,TRUE
24,MP5 Navy,"Lightweight and air-cooled, one of the most widely used submachine guns in the world. 30 rounds per magazine.",,,Primary,SMG,5600,3800,3594,326561,https://www.torn.com/images/items/24/large.png,TRUE
25,P90,"Effective close-range automatic weapon. 50-round magazine. Not particularly accurate, but its fast firing will cause heavy damage on anything it hits.",,,Primary,SMG,9800,6600,5819,334196,https://www.torn.com/images/items/25/large.png,TRUE
26,AK-47,"Powerful, accurate and virtually unbreakable. This 30-round magazine fed rifle is a favourite among discerning hit men.",,,Primary,Rifle,15000,10000,9835,398105,https://www.torn.com/images/items/26/large.png,TRUE
27,M4A1 Colt Carbine,"The Colt is a powerful and accurate rifle. It's one of the best weapons around, a good choice!",,,Primary,Rifle,19500,12500,11488,341349,https://www.torn.com/images/items/27/large.png,TRUE
28,Benelli M4 Super,"The Auto Shotgun is the best close-range weapon around. Although you may have to reload often as it only holds 7 rounds, the amount of rounds you can pump into your enemy in just a few seconds is amazing.",,,Primary,Shotgun,32000,21400,20528,230618,https://www.torn.com/images/items/28/large.png,TRUE
29,M16 A2 Rifle,"Much like the Colt, but more powerful and accurate. 30 rounds per magazine, with a fast-fire option.",,,Primary,Rifle,53000,36000,35295,164837,https://www.torn.com/images/items/29/large.png,TRUE
30,Steyr AUG,"The Steyr AUG holds 30 rounds. It can be very accurate, although its standard scope is a little weak. A great weapon for the price.",,,Primary,Rifle,99500,75000,74854,200533,https://www.torn.com/images/items/30/large.png,TRUE
31,M249 SAW,"The M249 Squad Automatic Weapon is a light machine-gun that combines the precision and mobility of a rifle with the relentless ferocity of rapid machine-gun fire. A favorite of the US Military, this gas-operated LMG can cut down several targets in a matter of seconds.",,,Primary,Machine gun,950000,670000,666304,83672,https://www.torn.com/images/items/31/large.png,TRUE
32,Leather Vest,"Simple and lightweight. If you're lucky, it will protect you from a few shots.",,,Defensive,,2500,1700,1041,448654,https://www.torn.com/images/items/32/large.png,TRUE
33,Police Vest,Strong and durable body armor that will absorb a lot of damage to your torso.,,,Defensive,,10000,7500,7130,284373,https://www.torn.com/images/items/33/large.png,TRUE
34,Bulletproof Vest,"Body armor that can absorb a certain amount of heavy-weapons fire, although it will not turn you into Iron Man.",,,Defensive,,50000,33000,30350,497006,https://www.torn.com/images/items/34/large.png,TRUE
35,Box of Chocolate Bars,A box of chocolate bars. Provides a small happiness increase when consumed.,Increases happiness by 25 and booster cooldown by 30 minutes.,,Candy,,0,15,621,9345699,https://www.torn.com/images/items/35/large.png,TRUE
36,Big Box of Chocolate Bars,A very large box of chocolate bars. Provides a small happiness increase when consumed.,Increases happiness by 35 and booster cooldown by 30 minutes.,,Candy,,0,20,42935,10587685,https://www.torn.com/images/items/36/large.png,TRUE
37,Bag of Bon Bons,A pack of Bon Bons. Provides a small happiness increase when consumed.,Increases happiness by 25 and booster cooldown by 30 minutes.,,Candy,,0,16,606,7535238,https://www.torn.com/images/items/37/large.png,TRUE
38,Box of Bon Bons,A box of four luxurious Bon Bons. Provides a small happiness increase when consumed.,Increases happiness by 25 and booster cooldown by 30 minutes.,,Candy,,0,20,664,6312787,https://www.torn.com/images/items/38/large.png,TRUE
39,Box of Extra Strong Mints,"Wow, whoever needs these must have very bad breath. Provides a small happiness increase when consumed.",Increases happiness by 25 and booster cooldown by 30 minutes.,,Candy,,0,22,615,9840036,https://www.torn.com/images/items/39/large.png,TRUE
40,Pack of Music CDs,"Some of the hottest bands around, all in one pack of CDs.",,,Other,,0,20,741,2608754,https://www.torn.com/images/items/40/large.png,TRUE
41,DVD Player,Sony DVD player with MP3 reading ability.,,,Other,,0,25,249,2671109,https://www.torn.com/images/items/41/large.png,TRUE
42,MP3 Player,Brand new MP3 player made by Sony. Comes with a 512 MEG card.,"Converts 1, 3 or 5 energy into happiness.",,Special,,0,25,550,6138858,https://www.torn.com/images/items/42/large.png,TRUE
43,CD Player,"This stylish home stereo system was top of the range back in 1994, with its CD player capable of reading even the most scratched up compact discs in your collection.","Converts 1, 3 or 5 energy into happiness.",,Special,,0,20,514,2190708,https://www.torn.com/images/items/43/large.png,TRUE
44,Blank DVDs : 100,"This spindle pack of 100 writable DVD-R DVDs are suitable for video and data applications, and compatible with a variety of different drives.",,,Material,,35,20,0,0,https://www.torn.com/images/items/44/large.png,TRUE
45,Hard Drive,A large hard drive to extend your computer's storage capacity.,,,Other,,0,65,296,3002612,https://www.torn.com/images/items/45/large.png,TRUE
46,Tank Top,A stylish low cut tank top.,,,Clothing,,0,32,222,2812707,https://www.torn.com/images/items/46/large.png,TRUE
47,Trainers,A nice pair of trainers.,,,Clothing,,0,35,285,3514290,https://www.torn.com/images/items/47/large.png,TRUE
48,Jacket,A very stylish summer jacket.,,,Clothing,,0,40,272,169435264,https://www.torn.com/images/items/48/large.png,TRUE
49,Full Body Armor,Full body armor made of high-grade bulletproof material. It will absorb some of the damage from hits taken by the wearer.,,,Defensive,,75000,60000,59801,434182,https://www.torn.com/images/items/49/large.png,TRUE
50,Outer Tactical Vest,"Despite the Combat Vest offering improved protection, its predecessor the Outer Tactical Vest is far from obsolete. The increased survivability and enhanced maneuverability provided makes it a more than worthwhile addition to your combat wardrobe.",,,Defensive,,1000000,750000,744433,93059,https://www.torn.com/images/items/50/large.png,TRUE
51,Plain Silver Ring,A simple silver ring.,Can be used to propose to someone with.,,Jewelry,,100,55,276,7486381,https://www.torn.com/images/items/51/large.png,TRUE
52,Sapphire Ring,A sapphire ring.,Can be used to propose to someone with.,,Jewelry,,300,125,657,5351044,https://www.torn.com/images/items/52/large.png,TRUE
53,Gold Ring,A solid gold ring.,Can be used to propose to someone with.,,Jewelry,,530,260,432,9319291,https://www.torn.com/images/items/53/large.png,TRUE
54,Diamond Ring,An expensive diamond ring.,Can be used to propose to someone with.,,Jewelry,,5000,2700,2654,3828058,https://www.torn.com/images/items/54/large.png,TRUE
55,Pearl Necklace,Matched cultured pearls in an understated but elegant setting.,,,Jewelry,,0,35,385,5886832,https://www.torn.com/images/items/55/large.png,TRUE
56,Silver Necklace,A silver necklace featuring a pattern of semi-precious stones.,,,Jewelry,,0,95,312,2536811,https://www.torn.com/images/items/56/large.png,TRUE
57,Gold Necklace,A mesmerizing spiral of 14-karat gold.,,,Jewelry,,0,185,441,3761967,https://www.torn.com/images/items/57/large.png,TRUE
58,Plastic Watch,This watch is absolutely accurate at least twice a day.,,,Jewelry,,0,20,340,1950392,https://www.torn.com/images/items/58/large.png,TRUE
59,Stainless Steel Watch,"Continues working when dropped, stepped on, or hit with a rubber mallet.",,,Jewelry,,0,70,268,2313249,https://www.torn.com/images/items/59/large.png,TRUE
60,Gold Watch,Elegance and luxury at sixty seconds per minute.,,,Jewelry,,0,225,638,11955671,https://www.torn.com/images/items/60/large.png,TRUE
61,Personal Computer,A high-tech personal computer. Can be used to program viruses.,Can be used to program viruses.,,Tool,,1350,300,393,7715250,https://www.torn.com/images/items/61/large.png,TRUE
62,Microwave,A brand new microwave.,,,Other,,0,150,656,1867093,https://www.torn.com/images/items/62/large.png,TRUE
63,Minigun,"This gun has a 200-round magazine. When you are done with a burst, your enemy will be in fragments.",,,Primary,Machine gun,3000000,1250000,1298078,96260,https://www.torn.com/images/items/63/large.png,TRUE
64,Pack of Cuban Cigars,"A pack of great quality, very expensive Cuban cigars.",,,Other,,400,295,654,5606218,https://www.torn.com/images/items/64/large.png,TRUE
65,Television,A king size Sony TV screen.,"Converts 3, 5 or 10 energy into happiness.",,Special,,0,250,567,2532770,https://www.torn.com/images/items/65/large.png,TRUE
66,Morphine,"Known on the street as Miss Emma, Morphine is a potent opiate painkiller whose addictive qualities are less than ladylike. With one shot, you'll be taken on a high-speed trip to your happy place, a pleasant destination where your leg is in one piece and your face is no longer mangled beyond repair.",Reduces hospital time by 70 mins and restores 15% life. Increases medical cooldown by 20 mins.,,Medical,,20000,10000,15878,36341449,https://www.torn.com/images/items/66/large.png,TRUE
67,First Aid Kit,"This comprehensive collection of medical necessities contains everything you need to treat burns, blood loss, and broken bones. Whether you're bleeding out on the battlefield or you've slipped in the bath and sat on a shampoo bottle, you'll be back on your feet in moments.",Reduces hospital time by 40 minutes and restores 10% life. Increases medical cooldown by 15 mins.,,Medical,,15000,7500,9498,24610555,https://www.torn.com/images/items/67/large.png,TRUE
68,Small First Aid Kit,"A small medical kit containing bandages, gauze, and antiseptic wipes. There's not enough in here to put someone's guts back in, but you'll have no problem patching up a minor flesh-wound or a nasty boo-boo on your knee.",Reduces hospital time by 20 minutes and restores 5% life. Increases medical cooldown by 10 mins.,,Medical,,7500,3750,3909,35069038,https://www.torn.com/images/items/68/large.png,TRUE
69,Simple Virus,A very simple virus that was written by an amateur.,Used to plant a virus in Crimes 1.0.,,Tool,,0,500,5505,2198034,https://www.torn.com/images/items/69/large.png,TRUE
70,Polymorphic Virus,Polymorphic viruses are semi-sentient: they adapt themselves with each infection. With a virus-writing toolkit you can even design new viruses.,"Used to plant a virus in Crimes 1.0.
Used by the Hacker role during the Counter Offer scenario.",,Tool,,0,4500,830028,143956,https://www.torn.com/images/items/70/large.png,TRUE
71,Tunneling Virus,This virus will attempt to tunnel under anti-virus monitoring programs in order to bypass their monitoring functions.,"Used to plant a virus in Crimes 1.0.
Used by the Hacker role during the Sneaky Git Grab scenario.",,Tool,,0,10000,2424561,163027,https://www.torn.com/images/items/71/large.png,TRUE
72,Armored Virus,This virus attempts to make disassembly difficult. Great for systems with weak virus protection.,Used to plant a virus in Crimes 1.0.,,Tool,,0,75000,697614,63163,https://www.torn.com/images/items/72/large.png,TRUE
73,Stealth Virus,"In order to avoid detection, a virus will often take over virus protection system functions likely to spot it and use them to hide itself. An extremely hard virus to write.","Used to plant a virus in Crimes 1.0.
Used by the Hacker role during the Stacking the Deck scenario.
Used by the Hacker role during the Manifest Cruelty scenario.",,Tool,,0,200000,1435667,221046,https://www.torn.com/images/items/73/large.png,TRUE
74,Santa Hat '04,A well crafted Santa hat made especially for the 2004 Christmas!,,,Collectible,,0,0,0,21,https://www.torn.com/images/items/74/large.png,TRUE
75,Christmas Cracker '04,An expensive Christmas cracker made especially for the 2004 Christmas!,,,Collectible,,0,0,0,29,https://www.torn.com/images/items/75/large.png,TRUE
76,Snow Cannon,"A very rare special weapon, made and crafted by Santa himself!",,,Primary,Heavy artillery,0,0,0,149,https://www.torn.com/images/items/76/large.png,TRUE
77,Tabata RM2,"Considered a must-have for those in Class D, the Japanese-made Tabata RM2 possesses a stunning amount of top-end speed - just make sure you leave yourself plenty of time to stop! This vehicle is a great Class D option on long tarmac tracks.",,,Car,,0,29000,29095,1798958,https://www.torn.com/images/items/77/large.png,TRUE
78,Edomondo NSX,"Edomondo's NSX is often at the top of most drivers' list when they reach Class A, and is a must-have for those who consider themselves an elite racer. If you're looking to set records on a track that will test your car's handling and braking, the NSX has no equal, with this model finding its home on some of Torn's most testing tracks.",,,Car,,0,40000,40777,1846795,https://www.torn.com/images/items/78/large.png,TRUE
79,Echo Quadrato,"Echo' Quadrato is a popular among both the ladies and the lads, as its streamlined exterior means it has no problem getting up to speed from a cold start. Sadly, European road laws mean this vehicle is limited when it comes to speed, hence why it tops out at a measly 155mph.",,,Car,,85000,55000,53275,107532,https://www.torn.com/images/items/79/large.png,TRUE
80,Bavaria M5,"Class B racers whose budget can't stretch to a Colina Tanprice could do much worse than a Bavaria M5. The fastest 4-door saloon of its type, the M5 model has a top speed of 186mph, but it will take some time to get there due to its subpar acceleration ability.",,,Car,,0,43000,40588,92759,https://www.torn.com/images/items/80/large.png,TRUE
81,Bavaria Z8,"The Bavaria Z8's rear wheel drive means it can often struggle for grip off the line, so if you're heading to a drag race you'll probably want something a little more reactive. But if you're taking this Class C car down a few windy roads, the Z8's poise and balance make this car stable under braking, giving you a crucial speed advantage on corners.",,,Car,,0,80000,79229,298695,https://www.torn.com/images/items/81/large.png,TRUE
82,Chevalier CZ06,"Like most American cars, Chevalier's CZ06 doesn't handle particularly well. But what it lacks in maneuverability it more than makes up for with a sky-high top speed thanks to its glorious 7 liter V8 engine. The CZ06 is one of the most popular options for Class C drivers as it is the fastest in its class.",,,Car,,75000,50000,57757,155785,https://www.torn.com/images/items/82/large.png,TRUE
83,Dart Rampager,"An all-American icon, the Dart Rampager is as fast as it is chaotic, with this vehicle treating corners as a suggestion rather than a guide. You'll likely abandon the Dart once you've finished your time in Class B, but you can be sure that your ride to the top is an absolute gas.",,,Car,,0,69000,67308,282428,https://www.torn.com/images/items/83/large.png,TRUE
84,Knight Firebrand,"Weak cornering caused by severe understeer means that the Knight Firebrand relies heavily on its straight line speed in order to remain competitive. In that respect, the Firebrand can tussle with the best cars Class C has to offer - just don't expect it to do well in a small, country village.",,,Car,,0,59000,59710,101473,https://www.torn.com/images/items/84/large.png,TRUE
85,Volt GT,"Volt's GT model handles like a racing car should, but is slightly let down by its acceleration, despite its low weight. Nevertheless, this model is often unbeatable down at the Docks, and comes recommended as a versatile option for drivers who are new to Class A racing.",,,Car,,0,150000,150905,307867,https://www.torn.com/images/items/85/large.png,TRUE
86,Invader H3,"This civilian version of a military favorite works fantastically on the dirt thanks to its superb braking ability, making it a fine, albeit slower Class D alternative to the Bavaria X5. You won't want to take this beast on the freeway, however, as not only is it highly unsuited to tarmac, you'll also look like a massive wally driving this through the city.",,,Car,,0,21000,32343,137884,https://www.torn.com/images/items/86/large.png,TRUE
87,Echo S4,"The Echo S4's superb braking ability allows it to really dig in on the corners, making for a great exit speed once the turbos kick in. The S4 won't win any awards for acceleration due to its limiting four wheel drive system, but it remains a staple in the garage of many great Class B drivers.",,,Car,,0,13000,30552,124669,https://www.torn.com/images/items/87/large.png,TRUE
88,Edomondo IR,"The IR model is slow for its class and suffers from braking issues, but the superior handling for which Edomondo is known makes this a decent option for those battling away in Class C. Widely regarded as one of the best front-wheel drive cars of all time, the IR is the closest you'll get to a race car from a factory model.",,,Car,,0,15000,34028,124119,https://www.torn.com/images/items/88/large.png,TRUE
89,Edomondo ACD,"Edomondos are often blessed with great handling, and the ACD is no exception thanks to its wide wheelbase and stiff suspension springs. The car's weight is its biggest downfall, however, and this drags back the ACD's top speed to make it a mid-range option among Class D cars.",,,Car,,0,23000,21740,1614438,https://www.torn.com/images/items/89/large.png,TRUE
90,Edomondo Localé,"The Edomondo Localé is popular among those new to racing due to its recommendation in Baldr's racing guide. In fact, so versatile is the Localé, that some drivers have been known to take it all the way from Class E to A, a strategy that allows them to save those precious racing points for future use.",,,Car,,0,9000,77025,293669,https://www.torn.com/images/items/90/large.png,TRUE
91,Verpestung Insecta,"Described as one of the few good things to come out of WWII, the Verpestung Insecta's limited top speed may put some consumers off this cheap and cheerful vehicle. But for Class D racers, the Insecta is a versatile motor whose handling allows it to compete with faster cars on short tarmac tracks full of sharp turns.",,,Car,,0,7600,18961,232933,https://www.torn.com/images/items/91/large.png,TRUE
92,Chevalier CVR,"Like most American cars, the Chevalier CVR simply cannot take a corner, so you're limited as to what you can achieve with this vehicle. What you do get is a beast of an engine at 2,800cc, so don't be surprised if you see the CVR zipping past you midway through a Class D race, only to let you pass with ease on the inside.",,,Car,,0,5600,9227,238795,https://www.torn.com/images/items/92/large.png,TRUE
93,Volt MNG,"Volt's MNG is an iconic car for one reason and one reason alone - it is literally unstoppable. Its combination of an extreme top speed and brakes made of sponge means you're just as likely to see the back of an ambulance as you are the chequered flag when driving this thing. Baldr's guide considers the MNG to be one of the best Class B cars around, but those in the Torn City hospital refer to their drivers as organ donors.",,,Car,,38000,17000,29349,158818,https://www.torn.com/images/items/93/large.png,TRUE
94,Trident,"As you might expect from a three wheeler, the Trident isn't much in terms of pace, and is actually one of the slowest cars available in Torn City. That being said, this iconic car's handling isn't too bad for an E class vehicle - just don't go heavy on the brakes into a sharp turn, or you may topple over! ",,,Car,,0,7000,60352,449719,https://www.torn.com/images/items/94/large.png,TRUE
95,Oceania SS,"Pacy but poor out of the blocks is an apt description of the Oceania SS - but hey, it works for Usain Bolt! This Australian powerhouse comes recommended for class C tarmac races, but if you're approaching a corner you'd be advised to check your rear-view mirror, because nine times out of ten there will be someone on your shoulder.",,,Car,,0,25000,23862,1688710,https://www.torn.com/images/items/95/large.png,TRUE
96,Coat Hanger,"A metal coat hanger, often used for picking the locks of cars.",Required for stealing locked cars.,,Tool,,0,2,52030,307987,https://www.torn.com/images/items/96/large.png,TRUE
97,Bunch of Flowers,"A bunch of flowers, a perfect gift!",,,Flower,,5,3,212,31245096,https://www.torn.com/images/items/97/large.png,TRUE
98,Neutrilux 2000,"Very rare: a Leprechaun's most powerful weapon, created out of green nuclear energy. Or at least, that's how the legend goes.",,,Primary,Machine gun,0,0,0,9,https://www.torn.com/images/items/98/large.png,TRUE
99,Springfield 1911,"Steel and light weight aluminium frames, stainless, blued and parkerized finishes, V-12 barrel porting... What more could you want?",,,Secondary,Pistol,430,300,1000,112143,https://www.torn.com/images/items/99/large.png,TRUE
100,Egg Propelled Launcher,"Very rare: the Easter Bunny's most powerful weapon, created out of jelly bean and chocolate egg technology.",,,Primary,Heavy artillery,0,0,0,15,https://www.torn.com/images/items/100/large.png,TRUE
101,Bunny Suit,"Very rare, and created out of the strongest fur yet discovered, this serves as the Easter Bunny's most stylish and most protective armor.",,,Clothing,,0,0,0,34,https://www.torn.com/images/items/101/large.png,TRUE
102,Chocolate Egg '05,"Every person's favourite treat, made for the 2005 Easter celebration!",,,Collectible,,0,0,0,64,https://www.torn.com/images/items/102/large.png,TRUE
103,Firewalk Virus,This type of virus is unknown.,Used by the Hacker role during the Blast from the Past scenario.,,Tool,,0,100,16888253,153935,https://www.torn.com/images/items/103/large.png,TRUE
104,Game Console,"This Game Console is a generic gaming device exclusive to Torn City, and was made from parts cannibalized from an Xbox, PlayStation, and a Sega Saturn. Game Consoles are unique in that they actually bring people happiness when they put effort into them, unlike careers, relationships, or children.","Converts 1, 3 or 5 energy into happiness.",,Special,,0,200,784,2306956,https://www.torn.com/images/items/104/large.png,TRUE
105,Xbox,A games console used for playing games.,Converts 5 energy into 8-15 happiness.,,Special,,0,350,0,0,https://www.torn.com/images/items/105/large.png,TRUE
106,Parachute,A collapsible device used to retard the descent of a falling body.,Permanently increases Dexterity by 1%. Increases booster cooldown by 6 hours.,,Booster,,450000000,0,448130000,8691,https://www.torn.com/images/items/106/large.png,TRUE
107,Trench Coat,A thick trench coat that covers most of the body.,,,Clothing,,500000,325000,325392,154241,https://www.torn.com/images/items/107/large.png,TRUE
108,9mm Uzi,"This Uzi is a compact, boxy, light-weight sub machine gun used throughout the world as a police and special forces firearm.",,,Primary,SMG,1100000,600000,591091,58058,https://www.torn.com/images/items/108/large.png,TRUE
109,RPG Launcher,The anti-tank RPG launcher is one of the most common and most effective infantry weapons in contemporary conflicts.,,,Secondary,Heavy artillery,0,0,80000000,1419,https://www.torn.com/images/items/109/large.png,TRUE
110,Leather Bullwhip,"A whip made of rawhide. In the right hands, it can be a stealthy and deadly weapon. In the wrong hands...you may lose an eye!",,,Melee,Slashing,1500,750,646,227211,https://www.torn.com/images/items/110/large.png,TRUE
111,Ninja Claws,"Traditional ninja weapon for close combat, with four needle-sharp spikes.",,,Melee,Piercing,8000,5000,4787,89503,https://www.torn.com/images/items/111/large.png,TRUE
112,Test Trophy,Test!,,,Collectible,,0,0,0,2,https://www.torn.com/images/items/112/large.png,TRUE
113,Pet Rock,"One of the rarest items in Torn, first discovered by Matt. Warning: this pet is extremely dangerous! Only the very brave or the very stupid should take it on. Matt takes no responsibility for the loss of life or fingertips caused by this pet.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/113/large.png,TRUE
114,Non-Anon Doll,The perfect gift for when you want to add insult to injury. Patented by Someone...,,,Collectible,,0,0,0,6,https://www.torn.com/images/items/114/large.png,TRUE
115,Poker Doll,Feisty red haired doll made in the image of Peachy complete with bellybutton poking action!,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/115/large.png,TRUE
116,Yoda Figurine,Have a doll like Yoda You must.,,,Collectible,,0,0,0,15,https://www.torn.com/images/items/116/large.png,TRUE
117,Trojan Horse,"This sweet gift from Tebbs seems innocently useful. Inside, it is highly infectious!",,,Collectible,,0,0,0,22,https://www.torn.com/images/items/117/large.png,TRUE
118,Doll's Head,"A doll's head owned by the Evil Female Admin known as Wynn. Believed to be responsible for lost stats, site lag, mass kicks on IRC, and random deletions.",,,Collectible,,0,0,0,31,https://www.torn.com/images/items/118/large.png,TRUE
119,Rubber Ducky of Doom,Most powerful weapon in the game can only be used by those with the knowledge to unleash its fearsome Duck Powers. Most often used after being asked the same n00b question for the 5th time in a row. Has also been seen dive bombing random people in IRC.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/119/large.png,TRUE
120,Teppic Bear,"Only known of by a very select few, this Teddy Bear stands as proof that even the toughest of players, such as Teppic, do indeed have a softer side.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/120/large.png,TRUE
121,RockerHead Doll,It has no uses and does nothing just like the staff member it resembles.,,,Collectible,,0,0,0,10,https://www.torn.com/images/items/121/large.png,TRUE
122,Mouser Doll,"Similar to the one used by Mouser to relieve the stress of dealing with uncooperative staff, annoying n00bs, and day to day business of being a Coder in Torn City.",,,Collectible,,0,0,0,18,https://www.torn.com/images/items/122/large.png,TRUE
123,Elite Action Man,Mimics the actions of the real man. Has been known to abuse Caps Lock Abusers.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/123/large.png,TRUE
124,Toy Reactor,Miniature model of a Nuclear Reactor similar to the one that Sec. Les_Claypool will be working on when he leaves for the Navy.,,,Collectible,,0,0,0,17,https://www.torn.com/images/items/124/large.png,TRUE
125,Royal Doll,This doll will give its user the feeling of being royalty just like KingAce while in possession. Player will receive special treatment from friends and rivals while carrying this special item!,,,Collectible,,0,0,0,19,https://www.torn.com/images/items/125/large.png,TRUE
126,Blue Dragon, A blue dragon spawned from the evil TC admin named blue comes packed with evil intentions and wild powers.. Some say rubbing the dragons head makes one 100 times stronger than any normal man!,,,Collectible,,0,0,0,22,https://www.torn.com/images/items/126/large.png,TRUE
127,China Tea Set,"Be just like Chedburn, sit in the garden and sip tea with this China Tea Set.",,,Collectible,,0,0,0,10,https://www.torn.com/images/items/127/large.png,TRUE
128,Mufasa Toy,Replica of a plush toy owned by Randi it looks just like the majestic lion Mufasa... before he was trampled of course.,,,Collectible,,0,0,0,21,https://www.torn.com/images/items/128/large.png,TRUE
129,Dozen Roses,"A dozen roses. This bouquet is available in assorted colors, from red for that special someone to black to send to your enemy after you hospitalize him or her.",,,Flower,,300,250,270,4508579,https://www.torn.com/images/items/129/large.png,TRUE
130,Skanky Doll,"Just like the one owned by Infrit, this doll comes with blood red lipstick, a mini skirt, and a corset.",,,Collectible,,0,0,0,19,https://www.torn.com/images/items/130/large.png,TRUE
131,Lego Hurin,This life like model is comprised completely of legos. Comes with upgrades such as the multi hunting goggles and evilarium connects to the brain. Read instructions for more details. Not intended for use by children age 6 and under.,,,Collectible,,0,0,0,18,https://www.torn.com/images/items/131/large.png,TRUE
